results.Hugo_Symbol	results.sarek	results.tcga	results.pval	results.or	results.ci.up	results.ci.low	results.adjPval	SampleSummary.Cohort	SampleSummary.SampleSize
54	TRBV6-8	0	20	1.54829113674023e-07	0	0.132927530750121	0	5.87777190799533e-06	tcga	48
55	KIR3DL2	1	22	3.13578509315893e-07	0.0260010224737934	0.178904883457086	0.000602336365406913	1.14792132874568e-05	sarek	48
56	OR8U1	1	22	3.13578509315893e-07	0.0260010224737934	0.178904883457086	0.000602336365406913	1.14792132874568e-05	tcga	48
57	DHX37	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	sarek	48
58	INA	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	tcga	48
59	PASD1	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	sarek	48
60	PLIN4	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	tcga	48
61	RBFOX1	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	sarek	48
62	SPANXB1	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	tcga	48
63	USP17L18	0	19	4.11097991479302e-07	0	0.14517954106782	0	1.33769981354376e-05	sarek	48
64	DLX2	1	21	8.23690884745803e-07	0.0282495570109165	0.194806684275916	0.000653425783109322	2.44719755612884e-05	tcga	48
65	FOXP2	1	21	8.23690884745803e-07	0.0282495570109165	0.194806684275916	0.000653425783109322	2.44719755612884e-05	sarek	48
66	IRS1	1	21	8.23690884745803e-07	0.0282495570109165	0.194806684275916	0.000653425783109322	2.44719755612884e-05	tcga	48
67	KRTAP4-7	1	21	8.23690884745803e-07	0.0282495570109165	0.194806684275916	0.000653425783109322	2.44719755612884e-05	sarek	48
68	PAXIP1	1	21	8.23690884745803e-07	0.0282495570109165	0.194806684275916	0.000653425783109322	2.44719755612884e-05	tcga	48
69	SLC25A5	1	21	8.23690884745803e-07	0.0282495570109165	0.194806684275916	0.000653425783109322	2.44719755612884e-05	sarek	48
70	AK2	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	tcga	48
71	BMP2K	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	sarek	48
72	DDX11	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	tcga	48
73	EGR1	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	sarek	48
74	ERVW-1	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	tcga	48
75	GOLGA6L9	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	sarek	48
76	KRTAP10-4	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	tcga	48
77	LUC7L2	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	sarek	48
78	PRSS2	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	tcga	48
79	RBMXL1	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	sarek	48
80	TNRC6C	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	tcga	48
81	TREML2	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	sarek	48
82	ZDHHC11	0	18	1.06885477784618e-06	0	0.158923446066483	0	2.67213694461545e-05	tcga	48
83	TTN	14	38	1.51620732183188e-06	0.111441235262549	0.300955490616517	0.0380102240997457	3.74484940934381e-05	sarek	48
84	KMT2D	6	29	1.63976206922631e-06	0.0962990337723228	0.28578204355633	0.0278449539374558	4.00180028799279e-05	tcga	48
85	TAS2R43	1	20	2.11056528639851e-06	0.0307224793029096	0.21246039755428	0.000709393491850216	5.0901868671964e-05	sarek	48
86	NCOA6	3	24	2.23225654564334e-06	0.0686536542238997	0.259538704022273	0.0120231756205518	5.32107664949866e-05	tcga	48
87	DKC1	0	17	2.72385572418867e-06	0	0.174434536741042	0	6.00419810170621e-05	sarek	48
88	GPR37L1	0	17	2.72385572418867e-06	0	0.174434536741042	0	6.00419810170621e-05	tcga	48
89	IGHV3-21	0	17	2.72385572418867e-06	0	0.174434536741042	0	6.00419810170621e-05	sarek	48
90	LRP10	0	17	2.72385572418867e-06	0	0.174434536741042	0	6.00419810170621e-05	tcga	48
91	POTEG	0	17	2.72385572418867e-06	0	0.174434536741042	0	6.00419810170621e-05	sarek	48
92	RBM10	0	17	2.72385572418867e-06	0	0.174434536741042	0	6.00419810170621e-05	tcga	48
93	TRBV3-1	0	17	2.72385572418867e-06	0	0.174434536741042	0	6.00419810170621e-05	sarek	48
94	CHGA	1	19	5.28020666977957e-06	0.0334551648276034	0.232220266799028	0.000770970767800544	0.000111591996629362	tcga	48
95	KIR2DL3	1	19	5.28020666977957e-06	0.0334551648276034	0.232220266799028	0.000770970767800544	0.000111591996629362	sarek	48
96	SLC35G6	1	19	5.28020666977957e-06	0.0334551648276034	0.232220266799028	0.000770970767800544	0.000111591996629362	tcga	48
97	TUBB8	1	19	5.28020666977957e-06	0.0334551648276034	0.232220266799028	0.000770970767800544	0.000111591996629362	sarek	48
98	ZFHX3	3	23	5.58586409937122e-06	0.074522562330172	0.282124657075659	0.0130445507673723	0.000116847157180725	tcga	48
99	KCNN3	2	21	6.17987082675983e-06	0.057506097915135	0.264452419446667	0.00608635297886263	0.000125433021731264	sarek	48
100	MED12	2	21	6.17987082675983e-06	0.057506097915135	0.264452419446667	0.00608635297886263	0.000125433021731264	tcga	48
101	TCOF1	2	21	6.17987082675983e-06	0.057506097915135	0.264452419446667	0.00608635297886263	0.000125433021731264	sarek	48
102	CSPG4	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	tcga	48
103	FRG2C	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	sarek	48
104	KIAA0040	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	tcga	48
105	MED15	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	sarek	48
106	NBPF26	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	tcga	48
107	NT5C1B	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	sarek	48
108	PCDHB6	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	tcga	48
109	PRSS3	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	sarek	48
110	RRP12	0	16	6.80963931047165e-06	0	0.192118316891767	0	0.000125763608887089	tcga	48
